ID,Na23,Fe57,Zn66,Rb85,Mn55,K39,Se82,P31,Cu65,Mg25,Sr88,As75,Cd114,Ca43,Co59,Mo98,S34,Li7
88,1989.3851,138.40158,98.274994,391.847,219.38971,76789.26,71.442055,20245.88,7.052531,4513.79,62.937325,1.1512,2.4488707,40328.29,1.8276467,5.052709,13718.26,13.533426
108,2189.8457,139.23619,101.369934,352.17212,227.75006,64588.98,80.21017,15681.933,8.6929865,4444.244,67.49296,0.96174604,2.9321344,41354.16,2.4046364,5.8759193,14534.251,15.194267
139,1898.9674,138.5634,90.11959,366.53336,231.61165,65677.234,80.95273,15985.693,9.32401,4548.752,66.63008,1.0008452,2.737883,41165.496,2.0783832,4.89386,13106.874,14.93337
159,728.66724,137.833,89.16088,483.75,218.84958,74906.17,83.33357,15769.714,7.985748,4808.546,62.559303,0.97977686,2.3497686,39392.68,1.8437777,5.1643453,13900.118,13.951764
265,944.42163,142.20386,91.62187,386.14658,248.69034,80246.516,65.26734,16996.615,9.120527,4103.1895,65.70239,1.2794178,2.7258465,40462.535,2.5457811,22.864613,13562.866,13.95446
350,880.92035,141.86917,92.911514,435.0554,239.44849,73027.516,76.18865,15020.299,8.14643,5189.423,64.13837,0.95983005,2.575351,41065.203,2.5885434,4.087799,13054.563,14.245774
351,1276.6288,146.31972,90.419365,364.80243,264.71777,63279.95,67.44902,17472.732,7.7191677,5149.8384,73.40734,0.9748443,2.556464,45912.586,2.3308585,6.6922317,12954.6,15.653505
403,1070.2701,142.25351,84.40173,465.406,218.14368,78627.61,57.09912,15351.894,7.062902,5738.626,68.09099,0.90184504,2.107861,44726.82,1.611883,4.397777,9453.828,14.973587
410,654.53656,140.24309,97.82562,401.5185,223.64072,70879.55,62.050327,15730.028,8.296873,5279.137,71.17954,0.89959383,2.457425,44860.863,2.5990353,6.3915105,11252.764,14.308922
424,1009.362,140.04085,86.51453,370.07184,224.35213,65258.434,79.48397,16169.675,8.488945,5226.3203,66.54801,0.9776629,2.525624,42076.426,2.438748,4.45597,13248.975,14.918992
428,966.2036,137.32587,101.69894,441.93832,226.22546,73346.66,75.36615,15552.166,7.2437086,4835.206,68.13089,0.89067996,2.386492,41927.777,2.5294907,4.2057824,12816.26,13.468389
430,752.43384,144.3538,90.385475,374.87604,222.69012,68776.086,82.20632,16728.422,8.27742,4448.5176,64.35168,1.023517,2.5628824,40874.45,2.5837333,0.6365941,14715.65,14.618796
630,1586.724,144.5828,84.46024,413.89484,219.16634,74178.08,66.86587,16576.803,7.5017242,4461.3516,70.602165,1.0868331,2.2253876,42685.324,2.141439,4.0275674,11959.105,14.69665
763,708.4066,136.444,95.16628,485.9245,239.18365,78826.08,75.34084,16694.654,7.243322,4398.8193,71.54792,1.0717777,2.8039608,40728.824,2.505792,2.3529146,13271.891,14.116457
765,1153.079,136.77856,90.00698,424.26016,232.19576,71639.91,70.14935,17867.834,7.2438183,4647.9165,65.378525,1.0473685,2.4245722,41283.387,2.1090584,1.5509826,12430.661,15.008668
766,1052.5826,141.01483,87.62956,444.37927,224.64445,80612.53,58.311913,16278.831,7.4229,5268.738,69.430786,0.955604,2.329117,43681.062,1.9393384,5.2182527,11392.171,14.413169
768,868.82715,139.29718,87.48334,400.06714,232.17967,77074.625,74.22424,17677.578,7.657811,4694.136,66.96381,0.9215974,2.277331,42084.457,2.0568883,1.7443304,12095.232,14.65315
772,916.47296,141.58435,89.610374,447.45035,228.62437,75377.37,71.60193,17463.102,8.108522,5114.772,67.42092,0.99922585,2.3470829,45950.32,2.101615,0.940789,13098.93,14.470762
801,803.4874,140.45024,84.56933,387.16406,224.82318,68608.34,68.03548,15873.732,7.2863164,5080.5664,68.656075,1.0363487,2.14624,42659.55,2.4265497,4.9551744,12044.858,14.288345
870,833.9727,142.10255,98.43649,372.28345,227.62502,64286.28,66.537575,13506.343,7.8873878,5008.12,71.931465,0.83807236,2.366271,42378.613,2.142177,4.138949,11158.505,15.164848
915,1058.3125,140.49585,87.721176,398.1709,223.65363,76953.875,68.985916,15019.596,8.540396,5399.2,65.48558,1.014133,2.4687793,41209.35,2.4280605,1.381158,12871.136,14.147329
932,1085.5164,142.90814,93.36669,347.73715,219.53455,66227.664,70.85306,15822.109,8.84132,5289.0674,70.761345,0.9123028,2.29018,44190.508,2.2841816,5.090919,12333.011,14.365463
991,1013.2824,143.88423,98.315765,385.70978,210.44853,70450.375,60.143597,17167.89,7.7918806,5193.9736,71.990395,0.9558642,2.535891,42799.8,2.658585,4.3157907,11792.881,14.511752
992,1527.2765,142.3238,90.54016,385.50113,222.2726,67844.11,68.10368,15160.164,7.3624845,5052.8276,69.635445,0.98717934,2.6009114,41182.97,2.3363059,8.775563,10418.203,14.389884
997,1369.03,144.3336,80.67859,388.57938,217.0235,74462.445,58.75439,16635.035,7.230737,5619.3223,69.6812,0.9905752,2.1970832,43957.723,2.9952624,4.6029377,11783.735,14.323753
1002,1509.5189,143.95499,92.60131,410.90347,210.47734,69769.74,66.26657,16583.705,7.6421857,4625.906,68.92048,1.0278598,2.4637764,41598.59,2.3522642,9.80561,12523.341,13.9697275
1061,1993.4758,135.07332,92.92352,389.69244,221.34465,69021.48,72.08108,16491.361,8.70016,4814.0254,62.025517,1.0337744,2.3944414,37561.99,2.657309,4.2955766,12080.127,13.7257
1062,758.612,137.9912,93.93299,391.9535,244.9865,70401.59,57.545612,16371.318,7.859915,5181.97,68.15865,1.0757239,2.8797112,41041.535,2.6671834,1.2026491,10093.709,14.313769
1063,1100.9059,142.14522,92.76959,416.00732,225.59782,74951.53,57.447334,14487.388,7.7741737,5442.316,67.680275,0.8990963,2.3757694,45375.285,2.2398746,5.06661,10854.547,14.362391
1066,2165.657,140.76764,94.8024,396.5761,237.16489,70847.72,66.019554,17160.07,7.236498,4873.8174,67.96358,0.9405738,2.3647661,44145.164,3.280686,6.357817,13253.292,14.152163
1158,1460.2798,143.36725,95.11969,342.42816,235.90738,64442.914,74.26222,14412.483,7.6469116,4598.256,75.905876,1.0004449,2.551207,43970.434,1.9765873,1.4064144,12380.745,14.523572
1254,1394.1635,140.86166,91.500534,363.40445,216.71143,69502.22,70.62216,15175.673,7.2855306,4717.9336,68.958496,1.2297125,2.2440913,43478.246,2.54926,10.31183,11547.43,14.362873
1257,1435.4349,141.72209,86.79227,383.76025,223.77502,70790.54,68.614044,16416.768,7.835383,5000.0215,72.68325,0.91792125,2.3578968,43001.273,2.0908403,10.783239,12894.023,14.224017
1317,1361.2759,134.29965,93.57194,468.329,215.58667,74349.73,76.4694,16353.467,8.254518,4647.9453,62.08168,0.93430364,2.4416044,38831.68,3.0042362,2.916131,12789.396,13.636389
1552,989.1084,141.84325,85.76053,351.6333,220.26334,64941.402,74.228386,17055.955,7.19746,5186.852,68.85403,1.0547851,2.364774,40608.75,3.2351582,6.796548,13143.964,14.283797
1829,1970.6018,142.69278,88.889725,395.46707,256.62662,69869.336,61.215923,15864.048,7.845736,5037.296,75.608925,0.88578755,2.6402204,44774.137,2.137143,1.7705302,11451.994,14.463285
1853,2450.3484,143.61488,125.45703,406.61,225.79524,69266.55,71.51648,14955.585,8.343378,5228.279,67.49185,0.8758881,2.2347438,43298.81,1.8644326,4.3996124,12624.224,14.659138
1872,2097.1309,143.1463,96.705505,384.1571,216.02745,67678.24,67.20629,16389.867,7.3207393,4942.94,70.53776,0.9094596,2.1828394,44850.668,1.710768,4.7536783,13045.465,14.793588
1890,965.61127,146.22495,86.43521,514.5799,223.22496,88621.03,61.94305,17135.826,7.838789,5092.2,70.80578,1.0089014,2.244406,43971.793,2.071485,0.7776195,12342.573,14.57101
